Abbaye de Belloc
Abbaye du Mont des Cats
Abertam
Abondance
Acidophilus Milk
Ackawi
Acorn
Adelost
Airag
Airedale
Aisy Cendre
Allgauer Emmentaler
Alverca
Ambert
American Cheese
Ami du Chambertin
Ammonium Caseinate
Anejo Enchilado
Anneau du Vic-Bilh
Anthoriro
Appenzell
Aragon
Ardi Gasna
Ardrahan
Aromes au Gene de Marc
Asadero
Asiago
Aubisque Pyrenees
Autun
Avaxtskyr
Baby Swiss
Babybel
Baguette Laonnaise
Bakers
Baladi
Balaton
Bandal
Banon
Barry's Bay Cheddar
Basing
Basket Cheese
Bath Cheese
Bavarian Bergkase
Beaufort
Beauvoorde
Beenleigh Blue
Beer Cheese
Bel Paese
Bergader
Bergere Bleue
Berkswell
Beyaz Peynir
Bierkase
Bishop Kennedy
Blarney
Bleu d'Auvergne
Bleu de Gex
Bleu de Laqueuille
Bleu de Septmoncel
Bleu Des Causses
Blue
Blue Castello
Bocconcini 
Boeren Leidenkaas
Bonchester
Bosworth
Bougon
Boulette d'Avesnes
Boursault
Boursin
Bouyssou
Bra
brandy butter
Braudostur
Breakfast Cheese
Brebis du Lavort
Brebis du Lochois
Brebis du Puyfaucon
Bresse Bleu
Brick
Brie
Brie de Meaux
Brie de Melun
Brillat-Savarin
Brin
Brin d'Amour
Brinza (Burduf Brinza)
Briquette de Brebis
Broccio
Broccio Demi-Affine
Brousse du Rove
Bruder Basil
Brusselae Kaas (Fromage de Bruxelles)
Bryndza
Buchette d'Anjou
Buffalo
Butte
Butter
Butter Fat
Butter Oil
Butter Solids
Butterkase
Buttermilk
Buttermilk Powder
Button (Innes)
Buxton Blue
Cabecou
Caboc
Cabrales
Cachaille
Caciocavallo
Caciotta
Caerphilly
Cairnsmore
Calcium Caseinate
Calenzana
Camembert de Normandie
Canadian Cheddar
Canestrato
Cantal
Caprice des Dieux
Capricorn Goat
Caravane
Carre de l'Est
Casciotta di Urbino
Casein
Caseinate 
Cashel Blue
Castellano
Castelleno
Castelmagno
Castelo Branco
Castigliano
Cathelain
Celtic Promise
Cendre d'Olivet
Cerney
Chabichou
Chabichou du Poitou
Chabis de Gatine
Chaource
Charolais
Chaumes
Cheddar
cheese 
Cheshire
Chevres
Chevrotin des Aravis
Chontaleno
Civray
clotted cream
Coeur de Camembert au Calvados
Coeur de Chevre
Cojack
Colby
Colby-Jack
Cold Pack
Comte
Condensed Milk
Coolea
Cooleney
Coquetdale
Corleggy
Cornish Pepper
Cotherstone
Cotija
Cottage Cheese
Cougar Gold
Coulommiers
Coverdale
Crayeux de Roncq
Cream
Cream Cheese
Cream Havarti
Crema Agria
Crema Mexicana
Creme Fraiche
crème frais
Croghan
Crottin de Chavignol
Crottin du Chavignol
Crowley
Cuajada
Curd
Curds
Cure Nantais
Curworthy
Custard
Cwmtawe Pecorino
Danbo
Danish Fontina
Daralagjazsky
Dauphin
Delactosed Whey
Delice des Fiouves
Demineralized Whey
Denhany Dorset Drum
Derby
